"","combined_pvalue","adjusted_pvalue"
"GAPDH",7.47707706860723e-09,4.23325950865728e-06
"MAPKAPK2",0.101608647704428,1
"MCL1",1.14945364337871e-08,6.07871847177244e-06
"TMEM109",0.430402903727304,1
"TMEM189",0.618908512675717,1
"ITPK1",0.721330141851756,1
"UBXN11",0.56862826292171,1
"SCARB1",0.0338409454472891,1
"NUDT21",0.512140741292096,1
"LDHB",5.59959256173359e-05,0.0124756918175583
"SEC62",0.501461084230657,1
"SRF",0.736462805708582,1
"EEF1G",0.13488121285167,1
"COX6C",0.00586069908588299,0.505448818387134
"ESRP1",0.0082008756582046,0.647526926963146
"RPL39",0.0874756309639955,1
"MFF",0.344987045264018,1
"AATF",0.924161152227188,1
"ICMT",0.590768625901967,1
"NENF",0.00425373344868224,0.399817935651672
"COL6A3",5.55111512312578e-17,1.6696375856126e-13
"RPS5",3.44435591159709e-12,3.60339731868141e-09
"C4B",1.3533420304912e-05,0.00359824686884105
"C12orf57",0.000952981315365031,0.129186756304365
"TUBB",0.0807809840634253,1
"H3F3A",4.11360849328357e-07,0.000149972277216629
"KRT7",0.991681444213478,1
"RPL21",9.42212248799534e-05,0.0185073663831019
"GPX1",0.0100027589261736,0.747473664558449
"ZNF146",0.157428258115473,1
"AP1G1",0.127403770078726,1
"PLK2",0.149208249413466,1
"ASCC3",0.540428664249657,1
"PDZK1IP1",0.186869574456619,1
"CD63",0.000162523197107245,0.0296260254354502
"TCEB2",1.51716330831775e-07,6.29413861314482e-05
"RPL34",0.00946379476246056,0.718353176726742
"NBR1",0.174140233483626,1
"CDC37",0.368872013014917,1
"SLC35F5",0.137519920919638,1
"SUSD6",0.744104255663944,1
"WIZ",0.613455628472073,1
"YAF2",0.594123571464114,1
"TMEM43",0.606882614112727,1
"APOA1BP",0.00173039845363127,0.201631336050324
"CLCN7",0.278881395191712,1
"OAZ1",0.03007304262114,1
"WEE1",0.746933772484428,1
"SUB1",0.0922461569679267,1
"ACTN4",0.00346617510195302,0.337406166991533
"HIPK1",0.162927983702294,1
"CCT4",0.331578179292917,1
"CCNY",0.485314166536613,1
"H2AFJ",1.01030295240889e-14,1.86999409588611e-11
"LTBP2",0.00255301461754559,0.270619700918918
"RPL13",3.5527136788005e-15,6.8388355506692e-12
"PSME4",0.281196306941036,1
"ARPC3",0.349259173129928,1
"BANF1",0.423469085416351,1
"CAST",0.000309866182121532,0.0512440154443134
"UQCR11",0.01514746973101,0.999642702491123
"MYL9",2.93729124645203e-06,0.00089464736111847
"FUS",0.227693887878932,1
"IFI6",5.15846605431136e-08,2.29857554939679e-05
"POLD4",0.653804970788043,1
