"","combined_pvalue","adjusted_pvalue"
"Nrf1",0.881863652370913,1
"Zbtb5",0.504496209494909,1
"Ccnl1",0.521901820372883,1
"Lrrfip1",0.104145711380636,1
"Bbs1",0.311382718586852,1
"Lix1",0.0106155599004524,0.824350455072524
"Whrn",0.114464453732298,1
"Ate1",0.0470118303900375,1
"Ubac1",0.524364939130389,1
"Rab34",0.200892256213342,1
"Nap1l1",0.000607067686469787,0.0816079213174836
"Srgap3",0.657327038529107,1
"Slc1a3",0.00787461157621461,0.657378920437539
"Polr3k",0.405925317481411,1
"Inpp5f",0.780804343822177,1
"Ndufaf6",0.629161550277017,1
"Atp5j2",0.0489541821445736,1
"Tnpo2",0.593739625659918,1
"2010300C02Rik",8.25761681255699e-12,6.7820121568483e-09
"B3gat3",0.00509524758279223,0.465351995879995
"Commd5",0.148101117387058,1
"Ints3",0.925995573159071,1
"Rbm6",0.49611969596676,1
"Rnpepl1",0.589655636612947,1
"Sox2",0.0751130142931016,1
"Cbx5",0.020487419791789,1
"Poldip3",0.00533475743792783,0.482492388243785
"Mapre1",0.414249006890399,1
"Luc7l3",0.178894591761212,1
"Pi4kb",0.358941650829046,1
"Mink1",0.834815516628889,1
"Resp18",0.118159377460098,1
"Rnf10",0.525396454398515,1
"Eef1a1",9.52718214319859e-08,3.38904680300311e-05
"Mdfic",0.121593917095424,1
"Rhbdf1",0.0056013131296675,0.499721769504935
"Zbtb14",0.210525986768104,1
"Sh3gl2",1.99645855403219e-12,1.88982259778741e-09
"Fam213a",1.2150716210968e-08,5.34331659812694e-06
"Dbn1",0.000141259994001663,0.0234100333975914
"Cldn5",8.41104963456019e-13,8.61918979894475e-10
"Fam193b",0.408839491664371,1
"Grik5",0.000227450004760099,0.0349457435681715
"Pip5k1a",0.168381558634235,1
"Sh3bgrl",0.284300404778665,1
"Cwc25",0.328238376473344,1
"Camkk1",0.0418933062484615,1
"Chn2",0.0872136108919694,1
"Map3k11",0.184799544661256,1
"Zmynd11",0.0399547736124097,1
"Snx13",0.0390137475779319,1
"Ptbp3",0.932245941280508,1
"Secisbp2l",0.264720302353543,1
"Fyco1",7.13753895043023e-07,0.00021035460682561
"Cox5b",9.18164061837201e-05,0.0160495247960266
"Rnf181",0.121538239553887,1
"Cyfip2",0.205112827191348,1
"Sptssa",0.00110215745743319,0.137091350017347
"Pmepa1",1.29414606808709e-09,6.91639451031432e-07
"Pde4dip",0.180820521368152,1
"Rhbdd3",0.063685129304562,1
"Oxct1",0.00749971084165674,0.633659295669285
"Huwe1",0.490932359551458,1
"Tcaim",0.879983219363062,1
"Med13",0.933307383893022,1
"Nlk",0.0994857520887789,1
"Atm",0.651371732755961,1
"Sptan1",0.0371081387498575,1
"Zcchc11",0.315437000941997,1
"Etv3",0.216239455563451,1
"Tspan2",0.111001102881261,1
"Fam160a2",0.132191374277647,1
"Zfyve20",0.591281524207999,1
"Ctr9",0.531099160942872,1
"Cers5",0.153792699066039,1
"Scly",0.231457577301952,1
"Fndc4",0.539064296626524,1
"Kif1b",5.31700267067392e-05,0.00999823130626531
"Polr2l",0.168608644697957,1
"Vcpip1",0.152230840960795,1
"Pcp4",5.55111512312578e-17,2.21444525966628e-13
"Gnb2",5.35475521723505e-06,0.00130441783852722
"Rapgef3",0.0646500272913377,1
"Sema3c",0.0860169483959515,1
"Tipin",0.203318263965856,1
"Atp6v0d1",0.076821363423255,1
"Gpr137b",0.204696244785868,1
"2310010J17Rik",0.298656841238794,1
"Slc3a2",0.0587497409644011,1
"Rbmx",0.525816201688498,1
"Ube2a",0.348110726397696,1
"Man1b1",0.435653200042596,1
"Ndel1",0.14291094730626,1
"Cdk5",0.737152897241,1
"Arf4",0.414601717580701,1
"Lrfn4",0.978296734658268,1
"Dnajc4",0.450077663494544,1
"Usp33",0.878424667297288,1
"Tmem203",0.0871418300779698,1
"Mcfd2",0.14527849229252,1
"Epha10",0.0766049009919378,1
"Slc9a3r2",0.372697206664572,1
"Ahi1",0.0158570730780805,1
"Ap3b2",0.15440023376479,1
"Aacs",0.768965234942019,1
"Trim11",0.401564826512123,1
"Snrnp70",0.0168832745863572,1
"Dock1",0.082057468899147,1
"Eif4ebp2",0.23943248778085,1
"Trpv2",0.313283311925901,1
"Higd1a",0.112718834777171,1
"Ngrn",0.518292922684685,1
"Hspa1a",0.484100846039615,1
"Sept8",0.269528192426589,1
"Psme2",0.464636290132322,1
"Rps15a",0.48303156105927,1
"Utrn",0.096883723466923,1
"Lsm3",0.156588988327245,1
"Wbp1l",0.191839362337936,1
"Gm10012",0.0793044275615906,1
"Fstl5",4.82148788962244e-05,0.00926931613393311
"Pgap1",0.112029651858965,1
"Pam",0.935046751135431,1
"Arpc1a",0.311957554158599,1
"Trmt11",0.13771311004739,1
"Gtf2h4",0.350262007989069,1
"Mageh1",0.408833047075089,1
"Cdk14",0.018746124201511,1
"Zmiz1",0.28756475428619,1
"Ndufc1",0.414046617808308,1
"Ttyh2",0.587038282401616,1
"Hnrpll",0.123082057894722,1
"Pde12",0.0296075033126559,1
"Cops8",0.346300578111644,1
"Arhgap5",5.1174532389453e-08,1.97105449380738e-05
"Hey1",0.577211586246004,1
"Cox14",0.170381959672621,1
"Pak6",0.400428540223415,1
"B230217C12Rik",0.830363475181696,1
"2410004B18Rik",0.0723060334065886,1
"1600012H06Rik",0.54859550692906,1
"Pdap1",0.516653138705168,1
"Gpatch2l",0.628031341232098,1
"Rasgrp3",0.329267976670385,1
"Hnrnpul2",0.444894730854166,1
"Adamts15",0.598279109327249,1
"Apc",7.17204073907851e-13,7.55752563336673e-10
"Rab33b",0.409136944250438,1
"Btbd3",0.000956256433448766,0.120554491199184
"B4galt5",0.21144569685916,1
"Slc2a1",3.86330629709164e-08,1.52480902145694e-05
"Coq6",0.198446799802746,1
"Vdac1",0.112702247075705,1
"Plec",0.304320484804589,1
"Gclm",0.431536630898482,1
"Tuba1a",0.00584072996143098,0.517578866120212
"Brd4",0.146013349950847,1
"Pyroxd2",0.264707476307618,1
"Itsn1",0.270765239463645,1
"Ctsb",1.08563830147901e-09,6.06314434476378e-07
"Srcin1",0.774170703355696,1
"Tspan31",0.550343714912675,1
"Paics",0.0810444051259634,1
"Mark1",0.239035405496341,1
"Aip",0.21260710639159,1
"Nudt3",0.126517831393089,1
"Ccnh",0.880089572050414,1
"Ube2ql1",1.66533453693773e-16,3.44469262614755e-13
"Auts2",0.00271107883405447,0.284605484402819
"Cd99l2",0.541343103358287,1
"Tcerg1",0.28913998837969,1
"Fzr1",0.193266241402441,1
"Chmp5",0.815019126245667,1
"Mfsd2a",0.00269477131641227,0.283356137582896
"Naca",0.27260468444252,1
"Tada1",0.21619351742114,1
"Slu7",0.0893626804927938,1
"Tbp",0.0529497232652673,1
"Phc3",0.0330784882319903,1
"Csnk1g3",0.00866825325401349,0.710359972582063
"March5",0.536975884657101,1
"Gm13889",2.94209101525666e-15,4.76266197876052e-12
"Htr3a",0.158803044199681,1
"Shisa3",1.01345099857708e-05,0.00229149309205256
"Rab18",0.393261165136855,1
"Pld1",0.397084324281181,1
"Zfp91",0.573445516314585,1
"Plcl1",0.397151685912128,1
"Bgn",5.86658499557302e-12,5.00215123249216e-09
"Neto2",0.113348292833727,1
"Ppp3cc",0.010480782710201,0.817510699850345
"Mat2b",0.572840249768772,1
"Tgfbr2",0.202739828198542,1
"Daam1",0.830648524327973,1
"Rps4x",0.210427019545838,1
"Anapc4",0.69751886484841,1
"Eprs",0.427521476346159,1
"Pcsk6",0.0925663614728928,1
"Ptprd",0.000518230183068791,0.0711278553055732
"Psmb10",0.34739632857385,1
"Fancc",0.889672956596029,1
"Acbd5",0.367952010922868,1
"1200011I18Rik",0.17718652153109,1
"Syt4",0.124675169461967,1
"Rbm42",0.299015039017625,1
"Pygb",0.0271357937191459,1
"Eomes",1.39658875997206e-06,0.000389945080961696
"Aldh7a1",1.97166665827364e-07,6.45835420139742e-05
"Mypop",0.388493461153976,1
"Aco2",0.0303281057927926,1
"Nr2f1",0.0426279861465639,1
"Cdk17",6.6063690074003e-09,3.08322483883054e-06
"Steap2",0.703534326780564,1
"Car10",0.000733591362738428,0.0957245186097111
"Lamtor1",0.232642389893478,1
"Vps26a",0.333114901525825,1
"Sertad4",0.940888718163684,1
"Atg9a",0.311088773889149,1
"Rpl10a",0.0847878502167034,1
"B3galtl",0.469743452454643,1
"Cand2",0.333411592773162,1
"Tmx3",0.00733114197140622,0.623662527130717
"Ank2",0.0327882363130707,1
"Cul1",0.685635441038454,1
"Syt13",0.133345042980031,1
"Tiam2",0.159394603678616,1
"Frmd3",0.225593050271084,1
"Clk4",0.113031001559043,1
"Dopey2",0.74287289975092,1
"Gpr37l1",2.09046115973166e-08,8.68025671028644e-06
"Adnp",0.900756398088137,1
"Cdca7l",0.319142628107872,1
"Rwdd4a",0.495631747162743,1
"Cuedc2",0.0557923732877791,1
"Kptn",0.35335308342951,1
"Hspe1",0.584884170486689,1
"Pitrm1",0.313689631923221,1
"Dlx6as1",0.000525519109029815,0.0718470932467136
"Arhgap32",0.0378851783966222,1
"Scrib",2.95550592277483e-07,9.37846834457967e-05
"Arap2",0.0126617603052178,0.942228294985908
"Pcdhb7",0.624709503919728,1
"Cox4i1",0.0131919488608473,0.975185513315313
"Cnn3",1.17229748263781e-05,0.0026240978964909
"Ryr3",0.721663006901724,1
"Xrcc6bp1",0.726617904853274,1
"Ccdc85a",0.856199036439749,1
"Dhps",0.340757799865184,1
"Cd24a",0.374697617655059,1
"Wdr1",0.261853920203823,1
"Copa",0.791395697645887,1
"Slitrk5",0.00277856388270797,0.29059750408527
"Map2k2",0.136516608345178,1
"Itgb1",0.00189299517904445,0.214227441755598
"Pikfyve",0.577097808307657,1
"Txndc15",0.165764425221428,1
"Myt1l",0.0178176029544758,1
"Vat1l",1.20137204795423e-07,4.20658420096689e-05
"Shprh",0.0718335358677692,1
"Arhgdig",7.22536922515005e-07,0.00021238272789971
"BC002163",0.521990135499944,1
"Acsl4",0.570255740249619,1
"Rgs12",6.30576701965424e-11,4.45783079609066e-08
"Man2b1",0.197262303917587,1
"Pex13",0.47926854579807,1
"Prune2",0.466957506077934,1
"Rmnd5b",0.433859704911793,1
"Rad9a",0.471227478580548,1
"Lmnb2",0.80908104946594,1
"Sfrp1",0.0727322971824947,1
"Gemin5",0.499688783601551,1
"Laptm4a",5.19473353222111e-13,5.57920966075767e-10
"Phka2",0.458593351393145,1
"Slc39a1",0.0401146339745794,1
"Birc2",0.926326751525492,1
"Srebf2",0.748374832222096,1
"Atp6ap1",0.0175105198670267,1
"Atp6v0b",0.0785676639277941,1
"Pkig",5.90930493238329e-05,0.0110192573261301
"BC030336",0.520373332929378,1
"Eif3i",0.037167000931918,1
"Ubr4",0.346412562385914,1
"Phf1",0.055957102375135,1
"D8Ertd738e",0.0585883738469379,1
"Foxg1",0.0724603710854133,1
"Ptprs",0.41488285856246,1
"Ints2",0.646257109981531,1
"Rps23",0.388566326162197,1
"Wipf2",0.0150339653788862,1
"Psmd7",0.490303876913389,1
"Yipf4",0.190232205058111,1
"Tenm3",2.56807380916158e-09,1.29795003449665e-06
"Sez6",5.55111512312578e-17,2.21444525966628e-13
"Ssbp4",0.38356727324703,1
"Polr1c",0.485224891068845,1
"Nup88",0.974228030611325,1
"Lrrc8a",0.00132138811190846,0.160541186432858
"Matk",0.420324270491031,1
"Aftph",0.207999327567463,1
"Ercc6",0.24698293546716,1
"Tril",0.06400170396888,1
"1810014B01Rik",0.0874388562374311,1
"Flnb",0.037606299268702,1
"Ndrg3",0.39390752258736,1
"Cpne6",0.00215825644936968,0.237743054784185
"Rin2",0.569871682678961,1
"Rtn4",0.164205193246161,1
"Zhx1",0.534717823788843,1
"Lims2",0.183588406386756,1
"Siah1a",0.889439038805951,1
"Necab3",0.00447381170643463,0.423126816333822
"Ppp2r2b",0.0862621004585146,1
"Csnk1e",0.305193057487837,1
"Nat14",0.00173600187164574,0.200110168822207
"Scarf2",0.00211369837896147,0.233988543685745
"Maged1",0.149131183566379,1
"Cacng3",4.92907424320954e-08,1.9050670400018e-05
"Chmp1a",0.284128733854099,1
"Maea",0.27331664750855,1
"Abhd4",0.00132230472311251,0.160541186432858
"Rps14",0.546775881398785,1
"Tmem63b",0.150002413833325,1
"Camk2g",0.192225740200149,1
"Gaa",0.691446033008834,1
"Wdr36",0.250204563887403,1
"Adss",0.364325183081532,1
"Kirrel3",0.009088595086574,0.734891287239028
"Rock1",0.2770274883961,1
"Ctsz",0.925380279727809,1
"Srp54b",0.670737886373265,1
"Clasp2",0.643771950043021,1
"Gpbp1",0.836779164927654,1
"Rpp30",0.643205315467357,1
"Gpatch4",0.854432774309004,1
"Kcnip2",0.617288219606419,1
"Prkcb",6.3522783422254e-08,2.38899816761985e-05
"Nisch",0.0236521848311479,1
"Fmr1",0.07546854870786,1
"Slc48a1",0.509512828391204,1
"Gna11",0.852731028088599,1
"Fam76a",0.00472026117693652,0.44120545191329
"Sox12",0.582487231783261,1
"Ndufa11",0.410561123925831,1
"Spock3",0.000332320753494098,0.0485519653674163
"Insm1",0.31588432124202,1
"Neurl4",0.184389413448694,1
"Lsg1",0.0710279780867859,1
"Tcf4",0.337871256285934,1
"Hist1h4d",0.65183563316746,1
"Lyn",6.82186247680239e-06,0.0016212420091943
"Rps12",0.425478815942342,1
"Papola",0.574626660786851,1
"Tagln3",0.50725737639915,1
"Atp1a2",3.88034049336738e-12,3.41278446547511e-09
"Setd1b",0.524057209768441,1
"Cdc42se2",0.0587147597178748,1
"Ildr2",0.182593612012696,1
"Cldn12",0.323165623246314,1
"Zc4h2",0.171317012284781,1
"Dhodh",0.188787334419961,1
"Smarce1",0.329768526993949,1
"S100b",4.38538094726937e-15,6.80326793664141e-12
"Dctn2",0.351623549868745,1
"Sdhaf1",0.21520757893409,1
"Myef2",0.820612378543229,1
"Cpsf3",0.0470599798285982,1
"Maf1",0.126682748113078,1
"Yme1l1",0.638474902333496,1
"Usp24",0.536508872685194,1
"Nckipsd",0.00819810768392853,0.679307598850519
"Mterfd1",0.360753685208795,1
"Gpr17",0.220412609921655,1
"Zfp740",0.167047024568999,1
"Tbc1d9b",1.09738501619105e-09,6.09825688692487e-07
"Arl2bp",0.362596343869617,1
"Rxrb",0.668657846771569,1
"Pop7",0.598866611176337,1
"Cnot7",0.413797810235815,1
"Ccsap",2.22918141390416e-07,7.23818563629767e-05
"Hnrnpa2b1",0.00147060720996123,0.175307237559461
"Rbfox3",1.66533453693773e-16,3.44469262614755e-13
"Xpr1",0.668432008005636,1
"Kcnd3",0.529729268104799,1
"Mrpl33",0.85011529010097,1
"Ddx19a",0.00944556999769736,0.75630627638324
"Rcc2",0.762020822735843,1
"Psmb4",0.0255035421673999,1
"Ddx50",0.0795689460708582,1
"D5Ertd579e",0.576550260434059,1
"Rnf138",0.3241137966671,1
"Igsf11",0.30202515452509,1
"Emd",0.789196746684696,1
"Stx12",0.687857759391725,1
"Ntan1",0.285573195168741,1
"Gng13",5.55111512312578e-17,2.21444525966628e-13
"Mrpl13",0.467017961240477,1
"Emc2",0.625105271910175,1
"Cct8",0.656193157871836,1
"Tmem127",0.498995890519891,1
"Phyhd1",0.406101835155889,1
"Tmed7",0.0705242365661169,1
"Prkaca",0.139205277607644,1
"Stx6",0.375976125268528,1
"Macrod2",0.614300040016335,1
"Gramd4",0.352012052210651,1
"Rbbp6",0.492148827258253,1
"Aasdhppt",0.377910839198339,1
"Bpgm",0.967319980649156,1
"Ndufb10",0.118244110608763,1
"Lrpap1",0.0411197255166302,1
"Banp",0.529376698603635,1
"Ncrna00085",0.176183350931301,1
"Jmjd6",0.442661357672749,1
"Jmy",0.166430631111568,1
"Gng4",5.55111512312578e-17,2.21444525966628e-13
"Clk2",0.117483753289867,1
"Phactr1",0.415184532021347,1
"Eno2",3.92951427508059e-08,1.54547960092359e-05
"Mir703",0.000143601175617902,0.0237627647675742
"Sh3glb2",0.000344348034703956,0.0498222176564651
"Grm2",0.0879542341344171,1
"Akr1e1",0.373703508557971,1
"Wwp2",0.674201921533828,1
"Selk",0.167085641663567,1
"Rps2",0.0988115528390108,1
"Scara3",0.373711400365993,1
"Hspd1",0.272489411436296,1
"Ptov1",0.130556471198094,1
"Trim59",0.113515365751553,1
"Fam101b",0.00650723587088398,0.565741047148038
"Ankhd1",0.31417740636848,1
"Mrpl22",0.3735353505229,1
"Api5",0.113720460570593,1
"A230065H16Rik",0.00614557890597223,0.538387986716866
"Dgat2",0.569757930646515,1
"Klhdc3",0.19248948770171,1
"Mlf2",4.93202201301557e-09,2.33429505314726e-06
"Rpl31",0.547617555942958,1
"Sucla2",0.0628184260941229,1
"Ncapd2",0.376946926863898,1
"Gpr158",0.031699722640012,1
"Rabgap1",0.288665451834904,1
"Bap1",0.439424709293568,1
"Atxn10",0.260097928390419,1
"Cadm2",0.000276010236716251,0.041326545922961
"Tsn",0.211658273644851,1
"Zfp654",0.540734614436108,1
"Agap3",0.216390079491972,1
"Sumo3",0.602208203607529,1
"Mtfp1",0.00269664105543238,0.283356137582896
"Minpp1",0.145639779497538,1
"Eif3a",0.180368490652855,1
"Romo1",0.579036066342193,1
"Ube2g2",0.148766196525482,1
"Lmna",0.62326603329021,1
"C030023E24Rik",0.509724719991562,1
"Mtpn",0.77695196158551,1
"Ambra1",0.715011981201022,1
"Hbegf",0.522720246535449,1
"Tmem191c",0.626482850372674,1
"Fam5c",0.000428799982218619,0.0600951168024441
"Uggt1",0.525435184603962,1
"Uvrag",0.420480685527881,1
"Yars2",0.284881188861259,1
"4930503E24Rik",0.00400371997451154,0.386269652038082
"Cyb5",0.213403589743943,1
"Rpl4",0.374341425059154,1
"Srrm3",0.231291485203481,1
"Bcl10",0.512908215567441,1
"Gm1673",0.955155553886435,1
"Sft2d2",1.85073012892722e-06,0.000501751437518903
"Ssbp2",0.0238914041828044,1
"Dnm1",0.00017110746118526,0.0275392572792221
"Tmem200c",0.915374056127069,1
"Cacna1i",0.520127739007006,1
"Ndufc2",0.162894627141386,1
"Tubgcp3",0.855955065388484,1
"Homer1",0.0287231951022632,1
"0610009O20Rik",0.0068645134321072,0.591626343866412
"Rnf34",0.182337224757367,1
"Nrsn2",0.331835020146479,1
"C330021F23Rik",0.000155409034656107,0.0253093863287834
"Tsr2",0.0705936020957819,1
"Reln",7.64843616218869e-09,3.5156782236143e-06
"Snhg5",0.23479033842037,1
"Ccser2",0.428648941795074,1
"Smyd2",0.126181760396624,1
"Nbl1",0.189211427829567,1
"Srpk2",0.0040869202029582,0.392180435298382
"Ppa1",0.386172990135268,1
"Slc35a5",0.124730779341945,1
"Gm6710",0.644604428031792,1
"Osbpl6",0.065396186060512,1
"Ak1",0.193002837625193,1
"Mrpl1",0.51401532550256,1
"Zbtb9",0.484170617169845,1
"Upf2",0.603882386477046,1
"Megf8",0.711783879429271,1
"Hdac5",0.0373199678631659,1
"Vmp1",0.0705432881784952,1
"Zkscan3",0.79686337186321,1
"Lrrc73",0.35476331196569,1
"Ncald",0.00770148989559249,0.64536323093052
"Insig2",0.154208138719546,1
