0	Gene Signature
A-cell (X-like): Ghrelin and Nesfatin-1 Synthesis	['PCSK1', 'RUNX1', 'PAX4', 'MBOAT4', 'MTOR', 'ITPR1', 'GNAT3', 'NKX2-2', 'TAS1R1', 'PPARG', 'NUCB2', 'TAS1R3', 'TAS1R2', 'GHRL', 'PLCB2', 'Na']
Acid Secretion by Collecting Duct of Kidney Nephron	['CA12', 'CA2', 'CA4', 'CLCNKB', 'SLC4A1', 'SLC12A7', 'SLC4A4', 'Na']
Activin, Inhibin and Follistatin Action on Pituitary Gland	['SMAD3', 'SMAD2', 'SMAD4', 'FSHB', 'FST', 'GNRHR', 'FOXL2', 'CGA', 'ACVR1B', 'ACVR2B', 'ACVR2A', 'Na']
Adenosine Role in Sleep Regulation	['GNA15', 'GLS2', 'SLC32A1', 'ADORA2A', 'GAD1', 'GNAS', 'ADORA1', 'PLCB1', 'ITPR1', 'Na']
Adipokines Production by Adipocyte	['ADIPOQ', 'INSR', 'JUN', 'STAT3', 'RARRES2', 'FOS', 'TIRAP', 'IRAK4', 'TRAF2', 'SIRT1', 'TNFRSF1A', 'APLN', 'IL1B', 'MYD88', 'NFKBIA', 'IL6', 'PIK3R1', 'RBP4', 'TRAF6', 'LEP', 'PPARG', 'IL6ST', 'MAP3K14', 'TLR4', 'CEBPA', 'SERPINA12', 'CFD', 'IRS1', 'IRS2', 'SERPINE1', 'TRADD', 'RETN', 'TNF', 'HIF1A', 'INS', 'ITLN1', 'FOXO1', 'NAMPT', 'IRAK1', 'MYC', 'AKT1', 'CCL2', 'MAP3K7', 'IL6R', 'JAK1', 'JAK2', 'Na']
ADORA1/2A -> Exocytosis	['SNAP25', 'SNAPIN', 'SYT3', 'SYT1', 'HSPA8', 'CACNA1B', 'ATP2B1', 'STX12', 'SYT7', 'RIMS1', 'ADORA2A', 'STX6', 'VAMP2', 'ADORA1', 'STX4', 'Na']
ADORA2A/B -> Vasodilation	['ADORA2B', 'ADORA2A', 'GNAS', 'MYL9', 'MYLK', 'Na']
ADORA3 -> Mast-Cell Degranulation	['RHOA', 'GNAQ', 'ADORA3', 'PRKCA', 'GNAI2', 'GNAI3', 'ITPR1', 'Na']
ADRA1 -> Ion Channels	['RHOA', 'KCNE1', 'ROCK1', 'PRKCE', 'CACNA1C', 'TRPV1', 'ADRA1D', 'TRPV2', 'ADRA1B', 'ADRA1A', 'ITPR1', 'TGM2', 'SCN9A', 'GNA11', 'SCN10A', 'GNAQ', 'PLCD1', 'Na']
ADRA1 -> Prostaglandin Generation	['MAP2K2', 'MAP3K1', 'MAP2K3', 'RASGRF1', 'MAP2K1', 'CAMK2A', 'PLA2G4A', 'ADRA1D', 'ADRA1B', 'ADRA1A', 'ITPR1', 'MAPK14', 'RASGRP1', 'GNA11', 'KCNMA1', 'GNAQ', 'MAPK3', 'MAPK1', 'MAP2K6', 'PLCB1', 'PTGDS', 'RAF1', 'Na']
ADRA1 -> Vasoconstriction	['PPP1R14A', 'MAP2K2', 'RASGRF1', 'MAP2K1', 'ADRA1D', 'ADRA1B', 'ADRA1A', 'MYLK', 'ITPR1', 'ACTA2', 'RASGRP1', 'CALD1', 'GNA11', 'GNAQ', 'MAPK3', 'MAPK1', 'MYL9', 'PLCB1', 'RAF1', 'Na']
ADRA1A -> IL6 Production	['MAP2K4', 'JUND', 'MAP2K2', 'MAP3K1', 'MAP2K3', 'JUN', 'MAP2K1', 'STAT3', 'FOS', 'MAPK14', 'CREB1', 'IL6', 'MAPKAPK2', 'MAPKAPK3', 'GNAQ', 'PLCB1', 'RAF1', 'RASGRF1', 'SRF', 'ELK1', 'ADRA1A', 'ITPR1', 'RPS6KA5', 'RASGRP1', 'MAPK8', 'GNA11', 'MAPK3', 'MAPK1', 'MAP2K6', 'MAP2K7', 'Na']
ADRA2A -> Hyperpolarization	['KCNJ1', 'GNAI1', 'ADRA2A', 'Na']
ADRA2A -> Neurotransmitter Release	['SYT1', 'CACNA1B', 'GNAI1', 'ADRA2A', 'Na']
ADRA2C/ADRB2 -> Synaptic Endocytosis	['MAP2K2', 'ANXA2', 'MAP2K1', 'SYT1', 'CAV1', 'PRKCE', 'AP2B1', 'BRAF', 'ADRA2C', 'PICALM', 'GNAS', 'AMPH', 'PLCB1', 'SRC', 'RASGRF1', 'CLTC', 'CLTA', 'ADRB2', 'STX12', 'ITPR1', 'GNA15', 'RASGRP1', 'RAP1A', 'GNA11', 'ARRB1', 'MAPK1', 'Na']
ADRA2C/ADRB2 -> Vasoconstriction	['MAP2K2', 'MAP2K1', 'CAV1', 'PRKCE', 'BRAF', 'ADRA2C', 'r_Pde4dl1', 'ACTA2', 'GNAS', 'MYL9', 'PLCB1', 'SRC', 'RASGRF1', 'ADRB2', 'MYLK', 'ITPR1', 'GNA15', 'RASGRP1', 'RAP1A', 'CALD1', 'GNA11', 'ARRB1', 'MAPK3', 'PDE4A', 'MAPK1', 'Na']
ADRB1 -> Ion Channels	['SCN10A', 'CACNA1C', 'GNAS', 'ADRB1', 'Na']
ADRB1 -> Prostaglandin Generation	['SRC', 'RAP1A', 'MAP2K2', 'MAP2K1', 'PLA2G4A', 'MAPK3', 'GNAS', 'ADRB1', 'MAPK1', 'BRAF', 'PTGDS', 'Na']
ADRB1/3 -> Vasodilation	['r_Pde4dl1', 'RHOA', 'ROCK1', 'NOS3', 'GNAS', 'ADRB1', 'PDE4A', 'PDE5A', 'ADRB3', 'MYL9', 'MYLK', 'Na']
Adrenoceptors Physiological Effects	['ADRB1', 'ADRB2', 'ADRA1D', 'ADRB3', 'ADRA2C', 'ADRA1B', 'ADRA2B', 'ADRA1A', 'ADRA2A', 'Na']
Agomelatine Antidepressant Action	['PER2', 'CREB1', 'GLS2', 'MTNR1A', 'SLC32A1', 'PER1', 'GAD1', 'GNAQ', 'HTR2B', 'GNAI1', 'ITPR1', 'Na']
AHR in Intestinal Cell Antimicrobial Barrier Maintenance	['IL22', 'NOTCH1', 'REG3G', 'IL23R', 'STAT3', 'IL10RB', 'AHR', 'RORC', 'TYK2', 'IL17A', 'IL22RA1', 'KIT', 'BCL2L1', 'BCL2', 'LCN2', 'S100A9', 'JAK1', 'S100A8', 'IL7R', 'Na']
AHR Signaling in M1 Macrophages Function	['STAT1', 'IFNGR1', 'IFNGR2', 'HDC', 'TIRAP', 'AHR', 'IRAK4', 'TNF', 'MAF', 'MYD88', 'NFKBIA', 'IL6', 'CYP24A1', 'TRAF6', 'IRAK1', 'IFNG', 'IL12B', 'ITGB7', 'CD14', 'IKBKG', 'JAK1', 'TLR4', 'JAK2', 'Na']
AHR Signaling in Th17 Cells Function	['TGFB1', 'SMAD3', 'IL10', 'STAT3', 'TYK2', 'TGFBR1', 'IL2', 'IL17A', 'IL6', 'IRF4', 'BCL6', 'IL17F', 'IL6ST', 'IL22', 'IL21', 'AHR', 'RORC', 'IKZF3', 'RORA', 'MIR212', 'MIR132', 'IL6R', 'JAK1', 'STAT5A', 'JAK2', 'Na']
AHR Signaling in Tr1 Cells Function	['MAP3K4', 'IL10', 'STAT1', 'PDPK1', 'GZMB', 'STAT3', 'GADD45G', 'RUNX1', 'MAPK14', 'MAF', 'NFKBIA', 'IFNG', 'IL6ST', 'MAP3K14', 'IL21', 'IL27', 'IL21R', 'PRDM1', 'AHR', 'RORC', 'IL2RG', 'IL27RA', 'TBX21', 'AKT1', 'JAK3', 'MAP3K8', 'JAK1', 'ICOS', 'JAK2', 'Na']
AHR Signaling in Treg and Dendritic Cells Function	['TGFB1', 'SMAD3', 'IL10', 'SMAD4', 'STAT1', 'SMAD1', 'AHR', 'IL2RG', 'IKZF3', 'TGFBR1', 'IKZF4', 'FOXP3', 'IL2', 'IL17A', 'ALDH1A1', 'IL2RA', 'IL2RB', 'IFNG', 'JAK3', 'JAK1', 'IDO1', 'STAT5A', 'IDO2', 'Na']
Aldosterone Renal Effects	['SLC12A3', 'SLC12A1', 'TSC22D3', 'SCNN1A', 'NEDD4L', 'OXSR1', 'NR3C2', 'NR3C1', 'SCNN1G', 'WNK1', 'WNK3', 'STK39', 'SCNN1B', 'WNK4', 'KCNJ1', 'RAF1', 'SGK1', 'Na']
Alzheimer's Disease	['GPX1', 'ENDOG', 'ACE', 'BAD', 'EIF2AK3', 'NFATC2', 'MMP9', 'TNFRSF1A', 'ERN1', 'MAPK14', 'IL1B', 'IL6', 'MAPT', 'CDK5', 'BAX', 'CYCS', 'TP53', 'RAF1', 'SOS1', 'MCU', 'APP', 'GSK3B', 'CHRM1', 'SHC1', 'LRP1', 'CHRNA7', 'IDE', 'TNF', 'LRP8', 'HSPB1', 'ITPR1', 'CASP8', 'RELN', 'CASP9', 'CASP10', 'MAP2', 'APBB1', 'CASP3', 'FADD', 'SNCA', 'MME', 'MAP2K1', 'ADAM10', 'SORL1', 'BACE1', 'CAT', 'GRB2', 'ATF6', 'CDK5R1', 'BECN1', 'RYR3', 'ECE1', 'ATP2A3', 'ATP2A2', 'PSEN1', 'ATP2A1', 'PLG', 'HSD17B10', 'TGM2', 'PPP2CB', 'CALHM1', 'KAT5', 'AIFM1', 'NOS1', 'APOE', 'MAPK1', 'BID', 'Na']
AMPA Receptors -> Calcium Influx	['GRIA2', 'GRIA3', 'GRIA1', 'GRIA4', 'Na']
AMPK Related Catabolism Deceleration in Glucose Insufficiency	['SREBF1', 'G6PC', 'CREB1', 'CRTC2', 'MLXIPL', 'SLC2A4', 'HMGCR', 'ULK1', 'ATG13', 'ACACA', 'GCK', 'Na']
Androgen Deficiency in Male Obesity	['ADIPOQ', 'CEBPA', 'LEF1', 'CEBPD', 'SRD5A2', 'CTNNB1', 'LPL', 'ADRB2', 'TNF', 'HIF1A', 'INS', 'CYP19A1', 'FOXO1', 'AR', 'LIPE', 'IL6', 'LEP', 'AKT1', 'PPARG', 'SRD5A1', 'TCF4', 'GAPDH', 'GNRH1', 'SHBG', 'Na']
Androgens in Adipocyte Activation	['ADIPOQ', 'CEBPA', 'LEF1', 'CEBPD', 'SRD5A2', 'CTNNB1', 'HIF1A', 'INS', 'CYP19A1', 'FOXO1', 'AR', 'LEP', 'AKT1', 'PPARG', 'SRD5A1', 'TCF4', 'GNRH1', 'SHBG', 'Na']
Annexins in Inflammation Resolution	['ANXA1', 'ANXA2', 'IL6', 'ANXA5', 'ACTG1', 'FPR2', 'PLG', 'PLD1', 'ARF6', 'ITPR1', 'PLCB1', 'Na']
anti-Inflammatory Function of Macrophage M2 Lineage	['CCR2', 'TGFB1', 'CCL24', 'IL4R', 'MAP3K1', 'CD163', 'IL10', 'JUN', 'CCL22', 'IL1R1', 'IL10RB', 'IL13', 'IL10RA', 'IRAK4', 'TYK2', 'TGFBR1', 'TGFBR2', 'VEGFA', 'IL1B', 'IL4', 'NFKBIA', 'FCGR2B', 'IRF4', 'RAF1', 'SOS1', 'CD86', 'RASGRF1', 'SHC1', 'CSF1', 'TNF', 'IL2RG', 'ITPR1', 'IRAK1', 'ADORA3', 'STAT6', 'PPARGC1B', 'KDM6B', 'MSR1', 'SMAD2', 'MAP2K2', 'SMAD4', 'MAP2K1', 'STAT3', 'FOS', 'TNFRSF10C', 'MYD88', 'TRAF6', 'GRB2', 'CSF1R', 'SRC', 'PDGFB', 'NR3C1', 'TGM2', 'INPP5D', 'MRC1', 'MAPK3', 'MAPK1', 'PLCG1', 'CCL1', 'IKBKG', 'JAK3', 'CCL17', 'IL13RA1', 'JAK1', 'Na']
