0	Gene Signature
platelet dense granule (GO:0042827)	['ABCC4', 'ECM1', 'SERPINA4', 'CD63', 'ITIH4', 'ITIH3', 'RARRES2', 'LGALS3BP', 'HPS4', 'RAB27B', 'CTSW', 'SGPP2', 'ITPR1', 'SELENOP', 'CLEC3B', 'SELP', 'LAMP2', 'FAM3C', 'TIMP3', 'APOH', 'CDC37L1', 'Na']
chromatoid body (GO:0033391)	['PIWIL2', 'DDX25', 'TDRD7', 'TDRD6', 'TDRD5', 'CLOCK', 'PIWIL1', 'ARNTL', 'Na']
Golgi trans cisterna (GO:0000138)	['TMEM59', 'B4GALT1', 'YIPF1', 'YIPF2', 'SGMS1', 'YIPF6', 'HID1', 'Na']
elongin complex (GO:0070449)	['ELOA3B', 'ELOA2', 'ELOA', 'ELOB', 'ELOA3', 'ELOC', 'EPOP', 'ELOA3D', 'Na']
telomerase holoenzyme complex (GO:0005697)	['SMG5', 'NVL', 'PTGES3', 'HNRNPU', 'SMG6', 'SMG7', 'GNL3L', 'LSM11', 'WRAP53', 'SNRNP40', 'HMBOX1', 'DKC1', 'SNRPD3', 'TERT', 'NAT10', 'TEP1', 'GAR1', 'HNRNPC', 'SNRPE', 'NOP10', 'SNRPB', 'NHP2', 'Na']
chromosomal region (GO:0098687)	['CCDC155', 'CENPW', 'PTGES3', 'CBX3', 'CBX1', 'PPP2R5C', 'PPP2R1A', 'SMC1A', 'CENPE', 'SGO2', 'CENPF', 'MIS18A', 'RAD51D', 'SGO1', 'INCENP', 'ATM', 'MRE11', 'TERF2IP', 'POT1', 'CENPT', 'Na', 'DCLRE1B', 'PINX1', 'TNKS', 'HJURP', 'RNF8', 'CTCF', 'RTEL1', 'RAD21', 'SLX4', 'CHEK1', 'FAM172A', 'TERT', 'CHEK2', 'FAM172BP', 'MBD5', 'MBD6', 'HELLS', 'DAXX', 'H2AFX', 'TINF2', 'RPA2', 'NSMCE2', 'TERF2', 'WAPL', 'THOC7', 'NDC80', 'TERB1', 'STAG2', 'HNRNPA2B1', 'ERCC4', 'BIRC5', 'RAD17', 'KIF2C', 'ZNF330', 'BLM', 'ZBTB48', 'SYCP3', 'FMR1', 'DSCC1', 'CDCA5', 'CDCA8', 'SMC6', 'PDS5B', 'CENPA', 'CENPB', 'PDS5A', 'SMC5', 'SMC3', 'RECQL4', 'SALL1', 'WRN', 'PMEPA1', 'NUF2', 'RCC2', 'TP53BP1', 'OIP5']
lipid droplet (GO:0005811)	['HSD3B7', 'ANXA2', 'ACSL3', 'CAV1', 'RSAD2', 'CIDEB', 'CIDEC', 'TSC1', 'ACSL4', 'CIDEA', 'CTDNEP1', 'FAAH2', 'LDAH', 'RAB7A', 'Na', 'EDA', 'RAB5C', 'ABHD5', 'HILPDA', 'GIMAP2', 'ALOX15', 'ARID4A', 'GIMAP7', 'RAP1B', 'RDH10', 'IRAK1', 'SDR16C5', 'SETSIP', 'BCAP31', 'DGAT2', 'PLIN1', 'G0S2', 'PLA2G4A', 'LSS', 'DHRS3', 'EHD1', 'FIG4', 'CKAP4', 'SCCPDH', 'FABP4', 'TRAF6', 'PLIN5', 'PNPLA4', 'PNPLA5', 'PLIN4', 'PLIN3', 'PLIN2', 'PNPLA1', 'GAPDH', 'PNPLA2', 'RAB3GAP1', 'PNPLA3', 'SET', 'VCP', 'FAF2', 'LPCAT2', 'LPCAT1', 'HSD17B13', 'HSD17B11', 'CYB5R3', 'LIPE', 'NSDHL', 'AIFM2', 'ALDH3B2', 'METTL7A']
centriole (GO:0005814)	['HSPA6', 'STARD9', 'OFD1', 'SPICE1', 'SIRT2', 'WDR34', 'AHI1', 'NIN', 'IFT88', 'CENPJ', 'CCP110', 'HSPA1A', 'CEP83', 'CEP162', 'CEP41', 'SAXO1', 'CNTROB', 'SAXO2', 'MPHOSPH9', 'SDCCAG8', 'FAM92A', 'CCDC151', 'CEP89', 'RAN', 'HSPA1B', 'Na', 'CCDC146', 'CCDC68', 'CETN1', 'C2CD3', 'CETN2', 'CEP19', 'CEP164', 'FBF1', 'CETN3', 'CEP120', 'TOP2A', 'CBY3', 'CCNF', 'BCCIP', 'CBY1', 'DEUP1', 'CEP128', 'CEP250', 'CEP295', 'CCDC78', 'CEP290', 'CEP170', 'PCNT', 'BBS4', 'C10ORF90', 'PLK4', 'CEP135', 'ODF2', 'STIL', 'PLK2', 'RABL2B', 'SCLT1', 'KIF24', 'CCSAP', 'TOPORS', 'NEDD1', 'CCDC88A', 'AGBL2', 'KIAA0586', 'KIF2A', 'AGBL4', 'SASS6', 'CEP63', 'DZIP1', 'MDM1', 'SPERT', 'CEP104', 'TSKS', 'CFAP20', 'TUBGCP3', 'HTT', 'CEP295NL', 'ALMS1', 'PLA2G3', 'CROCC', 'DCTN1', 'CAPG', 'TTBK2', 'CCDC92', 'IFT52', 'KIF3A', 'DZIP1L', 'POC1B', 'CEP350', 'CEP152', 'CCDC120', 'CEP76', 'CNTLN', 'POC1A', 'CCHCR1']
polysome (GO:0005844)	['UPF2', 'NAA30', 'VBP1', 'MCRS1', 'NAA35', 'RPL24', 'EIF2AK4', 'LARP4B', 'LARP4', 'LARP6', 'LIN28A', 'IMPACT', 'AGO2', 'VIM', 'AGO1', 'NAA38', 'CALR', 'Na', 'EIF4B', 'NUFIP2', 'DHX9', 'RPL11', 'RPS4Y1', 'FXR2', 'FXR1', 'ATXN2', 'RPL36A', 'EIF4H', 'RPS3', 'RPL19', 'MYH10', 'RPL18', 'GCN1', 'RPL41', 'RWDD1', 'NR0B1', 'EIF2S1', 'PSMA6', 'RPS26', 'RPS29', 'RPS28', 'PSMA1', 'DRG1', 'EIF4G1', 'RPS21', 'RPS23', 'RPL6', 'RPL31', 'RPL30', 'RPL32', 'FMR1', 'RPL10A', 'HSPA14', 'RPL8', 'LARP1', 'UNK', 'RPS4X', 'RPL18A', 'RPL36', 'RPL39', 'RPL38', 'ZC3H15', 'DIS3L2', 'RPL7A']
tertiary granule membrane (GO:0070821)	['HGSNAT', 'CHRNB4', 'CD300A', 'SIGLEC14', 'NBEAL2', 'LILRB2', 'MCEMP1', 'ATP11A', 'TMC6', 'CLEC4C', 'RAP2B', 'CLEC4D', 'CEACAM1', 'RAP2C', 'CEACAM8', 'PTPRB', 'SIGLEC5', 'ADAM8', 'Na', 'SNAP25', 'CD177', 'TMEM63A', 'SNAP23', 'FRMPD3', 'FPR2', 'UBR4', 'PLD1', 'NRAS', 'STOM', 'FCER1G', 'CD33', 'CD53', 'MGAM', 'ATP6V0C', 'ATP8B4', 'DYNLL1', 'ATP6AP2', 'SLC11A1', 'CD93', 'GAA', 'KCNAB2', 'ADAM10', 'CYBB', 'CYBA', 'ANO6', 'SVIP', 'SERPINB6', 'VAMP8', 'TSPAN14', 'TARM1', 'RAB14', 'VAMP1', 'LAMTOR3', 'CYSTM1', 'LAMTOR2', 'CD47', 'ITGB2', 'CLEC12A', 'PTAFR', 'COPB1', 'SLC2A3', 'PLAU', 'GPR84', 'ITGAM', 'LILRA3', 'FCAR', 'TRPM2', 'STBD1', 'CLEC5A', 'SIRPA', 'ITGAX', 'CD59', 'OLR1', 'LAIR1']
NLRP3 inflammasome complex (GO:0072559)	['PYCARD', 'GSDMD', 'DHX33', 'CASP12', 'CASP4', 'CASP5', 'NLRP3', 'CARD18', 'CARD8', 'CASP1', 'Na']
cytoplasmic vesicle (GO:0031410)	['STARD4', 'MALL', 'PSMC5', 'TFR2', 'CD207', 'ANP32E', 'RIN3', 'OPTN', 'PI4K2A', 'Na', 'ENPEP', 'USP6NL', 'CHIC2', 'RALA', 'TESK1', 'LRP6', 'SNX33', 'FNBP1L', 'DNM1P46', 'FLRT1', 'VPS11', 'WLS', 'RAB11FIP3', 'RAB11FIP4', 'ABCA2', 'CUBN', 'ABCA1', 'ARRDC1', 'ARRDC2', 'SLC11A2', 'TMEM198', 'OCLN', 'CCDC88A', 'VAMP2', 'TFRC', 'LPAR2', 'MLC1', 'LPAR1', 'PRDX5', 'RUSC2', 'RUSC1', 'AGFG1', 'PROM2', 'KIAA0319L', 'RHOA', 'SFTPD', 'MYOF', 'EMP2', 'RHOF', 'RHOD', 'TYR', 'MTSS1', 'RHOB', 'RHOC', 'GIPC1', 'RHOQ', 'TF', 'TH', 'MMP14', 'HEATR5B', 'CALY', 'RHOJ', 'HEATR5A', 'RAPGEF2', 'HAP1', 'RHOV', 'RAPGEF6', 'SGK3', 'RHOU', 'ADGRL4', 'RAB5C', 'CTSZ', 'CLTA', 'TGFA', 'MYO6', 'CLTCL1', 'MYOC', 'KIF1B', 'SNX9', 'RAB6A', 'DMTN', 'SERPINB3', 'SORT1', 'GCH1', 'RNASE6', 'ADAM10', 'RAB11A', 'DAB2IP', 'SNX17', 'SNX18', 'TAOK2', 'RAB9A', 'RAB9B', 'ARF6', 'NRP1', 'CD63', 'WASL', 'AP2A2', 'TRAK2', 'TRAK1', 'HYAL1', 'HYAL2', 'CXCR4', 'HYAL3', 'NUDT19', 'CD164', 'OCRL', 'AMOTL1', 'AMOTL2', 'DSC2', 'RHCG', 'RGS19', 'PRKN', 'RGS17', 'PDCD6', 'HFE', 'NKD2', 'AMOT', 'TMEM123', 'LAPTM4B', 'PDPN', 'NTF3', 'RAB24', 'RAB25', 'NTF4', 'STX7', 'SLC39A2', 'RGS20', 'SLC39A4', 'SLC30A8', 'IGF2R', 'SLC30A9', 'HPS1', 'TRAPPC8', 'TIRAP', 'AZIN2', 'STK26', 'ADGRF5', 'CHMP3', 'RAB5A', 'RAB5B', 'SPERT', 'RAB3C', 'NRSN1', 'RAB3D', 'RAB3A', 'RAB3B', 'SH3KBP1', 'COPB1', 'RHOBTB1', 'RHOBTB2', 'GOLIM4', 'RHOBTB3', 'PALM', 'FLOT2', 'FLOT1', 'DNM1L', 'ARFGEF2', 'BDNF', 'CAV2', 'CAV1', 'AXIN1', 'DNM1', 'DNM2', 'DNM3', 'MARCH2', 'FES', 'RABEP1', 'APOA1', 'NLGN3', 'CD164L2', 'LRRK2', 'BICD1', 'PLD1', 'BICD2', 'DPP4', 'SPAST', 'SCFD1', 'MARVELD3', 'MARVELD2', 'DVL1', 'DVL2', 'PLEKHG5', 'DST', 'NGF', 'SOD1', 'CDC42', 'TBC1D2', 'MYO1D', 'VGF', 'RAB13', 'TBC1D7', 'RAB17', 'DYNLT1', 'USP14', 'BECN2', 'DYSF', 'CXXC4', 'ARRB2', 'ARHGDIG', 'HSPD1', 'RND3', 'CLCN3', 'ADD2', 'RND1', 'RND2', 'GRM4', 'SPRED1', 'ARRB1', 'AP1G2', 'ARHGDIB', 'PDE6D', 'VPS35', 'ATP7B', 'ABCD1', 'SPG11']
GABA-A receptor complex (GO:1902711)	['GABRA3', 'GABRA2', 'GABRB3', 'GABRQ', 'GABRB2', 'GABRP', 'GABRA1', 'GABRB1', 'GABRA6', 'GABRA5', 'GABRA4', 'GABRG1', 'GABRG3', 'GABRG2', 'GABRR3', 'GABRR2', 'GABRR1', 'GABRE', 'GABRD', 'Na']
integral component of Golgi membrane (GO:0030173)	['CSGALNACT2', 'CSGALNACT1', 'SYT4', 'ENTPD4', 'GALNT2', 'TVP23A', 'SYS1-DBNDD2', 'TVP23B', 'SLC39A13', 'TVP23C', 'YIF1A', 'YIF1B', 'CASD1', 'ACER3', 'ACER2', 'B4GAT1', 'UNC50', 'TPST1', 'TBC1D20', 'RER1', 'STEAP2', 'Na', 'SLC35B4', 'UBIAD1', 'SLC35B3', 'SAMD8', 'SYS1', 'SGMS2', 'SGMS1', 'SLC35B2', 'SLC35B1', 'TEX261', 'PCSK7', 'IER3IP1', 'CHST12', 'GFY', 'QSOX1', 'MAN1C1', 'QSOX2', 'A4GALT', 'LARGE1']
