0	Gene Signature
Abnormality of B cell number (HP:0010975)	['DCLRE1C', 'IGHM', 'CASP10', 'GFI1', 'NBN', 'ADA', 'RAG1', 'ICOS', 'RAG2', 'Na']
B lymphocytopenia (HP:0010976)	['DCLRE1C', 'IGHM', 'GFI1', 'NBN', 'ADA', 'RAG1', 'ICOS', 'RAG2', 'Na']
Hypobetalipoproteinemia (HP:0003563)	['SAR1B', 'PANK2', 'MTTP', 'APOC3', 'ANGPTL3', 'APOA5', 'APOB', 'CCT5', 'Na']
Gastrointestinal atresia (HP:0002589)	['SEMA3E', 'ITGB4', 'FOXF1', 'CHD7', 'HOXD13', 'EFTUD2', 'SALL1', 'MYCN', 'SOX2', 'ERCC4', 'RFX6', 'NEK1', 'ITGA6', 'DIS3L2', 'RMRP', 'FGFR2', 'CEP57', 'Na']
Birth length less than 3rd percentile (HP:0003561)	['ORC6', 'B3GALTL', 'CDT1', 'PIK3R1', 'ORC1', 'ORC4', 'TBCE', 'CDC6', 'Na']
Peritonitis (HP:0002586)	['MVK', 'COL1A1', 'MEFV', 'COL5A2', 'COL5A1', 'TNFRSF1A', 'F5', 'JAK2', 'Na']
Abnormality of the peritoneum (HP:0002585)	['MVK', 'MEFV', 'IKBKAP', 'EWSR1', 'BRCA1', 'TNFRSF1A', 'F5', 'COL1A1', 'WT1', 'COL5A2', 'SOX18', 'COL5A1', 'BCL6', 'BCL2', 'SLC29A3', 'JAK2', 'HLA-DRB1', 'Na']
Colitis (HP:0002583)	['IGHM', 'RFX5', 'RFXAP', 'IL10RB', 'LRBA', 'IL10RA', 'RFXANK', 'PLCG2', 'SKIV2L', 'CIITA', 'GPIHBP1', 'OPLAH', 'Na']
Volvulus (HP:0002580)	['CHRM3', 'RAD21', 'NIPBL', 'ATRX', 'SMC1A', 'DIS3L2', 'HDAC8', 'SMC3', 'Na']
Elevated erythrocyte sedimentation rate (HP:0003565)	['MVK', 'PSMB8', 'MEFV', 'NLRP3', 'TREX1', 'TMEM173', 'TNFRSF1A', 'ITK', 'Na']
Obsessive-compulsive behavior (HP:0000722)	['TBX1', 'DMPK', 'LIMK1', 'RFC2', 'OCRL', 'BAZ1B', 'TTC19', 'SMC1A', 'COASY', 'BCR', 'CLIP2', 'TBL2', 'PAH', 'ADNP', 'GTF2IRD1', 'GTF2I', 'SETD5', 'HDAC4', 'FMR1', 'PANK2', 'SEMA3E', 'ELN', 'EHMT1', 'CHD7', 'ALMS1', 'AFF2', 'HDAC8', 'SMC3', 'CRKL', 'RAD21', 'MED12', 'SLITRK1', 'NIPBL', 'SGCE', 'MAPK1', 'DRD2', 'Na']
Dementia (HP:0000726)	['PDGFRB', 'EPM2A', 'ATP13A2', 'NPC1', 'TYROBP', 'CP', 'PINK1', 'NPC2', 'MAPT', 'DNAJC5', 'NHLRC1', 'SERPINI1', 'IRF6', 'MMACHC', 'APP', 'AARS2', 'PANK2', 'LRRK2', 'ATN1', 'TREM2', 'ASAH1', 'SPAST', 'ATXN3', 'ATXN2', 'C10ORF2', 'C19ORF12', 'CTSF', 'SNCA', 'SNCB', 'TBP', 'AMN', 'TIMM8A', 'CUBN', 'PRNP', 'CHCHD10', 'VPS13A', 'CYP27A1', 'ATXN10', 'ERCC4', 'CHMP2B', 'ERCC8', 'MATR3', 'FTL', 'DNMT1', 'ITM2B', 'SPG21', 'CSF1R', 'NOTCH3', 'C9ORF72', 'VCP', 'GRN', 'GBA', 'HEXA', 'FMR1', 'ROGDI', 'HTT', 'PDGFB', 'PSEN1', 'PPP2R2B', 'GBA2', 'HTRA1', 'PSEN2', 'CLN6', 'WDR45', 'TTR', 'CST3', 'JPH3', 'CLN3', 'GM2A', 'RNF216', 'NDP', 'UBQLN2', 'TREX1', 'APOE', 'POLG', 'ABCD1', 'ATP7B', 'Na']
Abnormal eating behavior (HP:0100738)	['NTRK2', 'MBD5', 'KCNJ10', 'SNRPN', 'GRN', 'BDNF', 'PRDM16', 'SLC3A1', 'PSEN1', 'KCNAB2', 'SLC5A2', 'AGPAT2', 'MAGEL2', 'SKI', 'PREPL', 'MAPT', 'NDN', 'LEP', 'LEPR', 'GABRD', 'SIM1', 'BSCL2', 'Na']
Generalized aminoaciduria (HP:0002909)	['CYP27B1', 'DGUOK', 'SLC34A1', 'SLC2A2', 'ETFA', 'ETFDH', 'ETFB', 'CTNS', 'Na']
Conjugated hyperbilirubinemia (HP:0002908)	['SLCO1B1', 'ABCC2', 'ABCB11', 'ATP8B1', 'VPS33B', 'SLCO1B3', 'VIPAS39', 'SLC17A5', 'Na']
Muscular dystrophy (HP:0003560)	['B3GALNT2', 'FKRP', 'GK', 'CHKB', 'NR0B1', 'TMEM43', 'ANO5', 'POMGNT1', 'DPM1', 'MYOT', 'POMK', 'TCAP', 'B3GNT1', 'TRIM32', 'CRYAB', 'PLEC', 'ISPD', 'RYR1', 'LAMA2', 'POMT1', 'DYSF', 'POMT2', 'TTN', 'SYNE2', 'LMNA', 'PTRF', 'SEPN1', 'BAG3', 'DNAJB6', 'LARGE', 'GMPPB', 'DMD', 'TNPO3', 'FKTN', 'Na']
Hyponatremia (HP:0002902)	['CA12', 'SLC26A3', 'AVPR2', 'IKBKAP', 'SCNN1A', 'OCRL', 'CLCNKB', 'PRF1', 'CPOX', 'CLCNKA', 'CTNS', 'NR0B1', 'NR3C2', 'SARS2', 'SCNN1G', 'HMBS', 'CYP11B2', 'SCNN1B', 'BSND', 'SCN4A', 'Na']
Hypocalcemia (HP:0002901)	['TBX1', 'GNAS-AS1', 'VDR', 'CCBE1', 'CASR', 'CAV1', 'TBCE', 'IFT122', 'GP1BB', 'CAMKMT', 'PPM1B', 'CLCN7', 'FAM111A', 'PREPL', 'GNAS', 'FAT4', 'GCM2', 'PTH', 'STX16', 'UFD1L', 'SEMA3E', 'CHD7', 'SLC3A1', 'TCIRG1', 'SLC4A1', 'UBR1', 'GATA3', 'SNX10', 'COMT', 'HIRA', 'CYP27B1', 'GNA11', 'TNFSF11', 'TRPM6', 'ARVCF', 'RMRP', 'Na']
Hypokalemia (HP:0002900)	['SLC12A3', 'KCNJ5', 'KCNJ10', 'SLC26A3', 'SMAD4', 'CASR', 'SLC12A1', 'AIP', 'SLC2A2', 'OCRL', 'CLCNKB', 'CLCNKA', 'CTNS', 'CACNA1D', 'HSD11B2', 'SCNN1G', 'COL3A1', 'SCNN1B', 'CYP11B1', 'CACNA1S', 'BSND', 'SCN4A', 'KCNJ1', 'BMPR1A', 'Na']
Hypertensive crisis (HP:0100735)	['TBX1', 'UFD1L', 'CAV1', 'GP1BB', 'HLA-B', 'COMT', 'HIRA', 'CTGF', 'HMBS', 'IRF5', 'VHL', 'MLX', 'IL12B', 'CCR6', 'ARVCF', 'HLA-DRB1', 'Na']
Hyperphosphatemia (HP:0002905)	['KL', 'GCM2', 'GNAS-AS1', 'STX16', 'PTH', 'RYR1', 'PGAP2', 'CASR', 'GALNT3', 'TBCE', 'TNFRSF11B', 'GNA11', 'GNAS', 'FGF23', 'Na']
Hyperbilirubinemia (HP:0002904)	['HSD3B7', 'GPX1', 'PEX19', 'ABCC2', 'G6PD', 'UGT1A1', 'PKLR', 'VPS33B', 'ATP8B1', 'KLF1', 'ANK1', 'SPTB', 'PFKM', 'ABCB11', 'AMACR', 'PAX8', 'RFX6', 'VIPAS39', 'ALDOB', 'SLC25A13', 'RHAG', 'TRMU', 'AKR1D1', 'PRKCSH', 'ADK', 'PRF1', 'SLC4A1', 'HK1', 'SLCO1B1', 'DGUOK', 'CPT2', 'SLCO1B3', 'SC5D', 'LBR', 'SEC63', 'SLC17A5', 'Na']
