0	Gene Signature
3-M syndrome	['NBAS', 'CUL9', 'NRN1', 'CUL7', 'IGFALS', 'FBXW8', 'SRCAP', 'CRIPT', 'RFX7', 'RFX5', 'CCDC8', 'SUDS3', 'OBSL1', 'ANKRA2', 'Na']
3-Methylcrotonyl-CoA carboxylase deficiency	['HMGCL', 'ACAD8', 'ACADVL', 'ACADM', 'SLC6A18', 'MCCC1', 'CGB8', 'MCCC2', 'CGB7', 'ACADSB', 'Na']
3-methylglutaconic aciduria	['ACAD9', 'ACAD8', 'CUBN', 'ACADSB', 'APOA1BP', 'DNAJC19', 'MT-ATP8', 'ATRN', 'NDUFS6', 'TMEM126B', 'PARS2', 'FBXL4', 'PGAP2', 'CLPB', 'FKBP14', 'ROGDI', 'TMEM70', 'TAZ', 'HMGCL', 'TIMM50', 'MT-ATP6', 'AUH', 'C19ORF70', 'ATP5E', 'OPA3', 'PMPCB', 'SERAC1', 'VARS2', 'Na']
3p- syndrome	['OXTR', 'SEC13', 'CRBN', 'CAV3', 'PRINS', 'ATP2B4', 'FBLN2', 'ATP2B2', 'ITPR1', 'SLC6A6', 'ARC', 'CA2', 'PTER', 'CNTN4', 'LRRN1', 'SRGAP3', 'SRGAP2', 'LRCH4', 'Na']
46 XY gonadal dysgenesis	['NR5A1', 'MAP3K1', 'DHH', 'CBX2', 'DMRT1', 'SRY', 'NR0B1', 'ZFPM2', 'Na']
ADULT syndrome	['SLC38A2', 'SATB2', 'BRF1', 'TMEM238', 'INS', 'PHLDA2', 'PM20D1', 'TP63', 'Na']
AGAT deficiency	['OAT', 'GAMT', 'HAPLN1', 'SLC6A8', 'DDX21', 'Na']
ARC syndrome	['GFI1B', 'TGFBRAP1', 'VPS33B', 'ONECUT1', 'ATP8B1', 'VPS33A', 'NBEAL2', 'IFT81', 'VPS16', 'VPS18', 'RAB7A', 'VPS39', 'Na']
Aarskog-Scott syndrome	['FGD4', 'FARP2', 'FGD5', 'PLEK', 'MCF2', 'FAM120C', 'PHF8', 'FGD1', 'BTRC', 'FGD3', 'CDC42', 'Na']
Abdominal aortic aneurysm	['C1ORF105', 'NPSR1-AS1', 'CMA1', 'APOE', 'CCL2', 'C17ORF85', 'CTSS', 'AAAS', 'Na']
Ablepharon macrostomia syndrome	['CPN1', 'FRAS1', 'U6ATAC', 'TWIST2', 'USB1', 'FREM2', 'LAX1', 'Na']
Acanthosis nigricans	['INSR', 'ALMS1', 'TLX1NB', 'AGPAT2', 'INS', 'LMNA', 'PDLIM1', 'PTRF', 'LEP', 'FGFR3', 'FGFR2', 'SHBG', 'BSCL2', 'Na']
Aceruloplasminemia	['SLC33A1', 'ATP13A2', 'PANK2', 'SLC11A2', 'SLC40A1', 'HFE2', 'PLA2G6', 'CP', 'FA2H', 'DCAF17', 'TF', 'HEPH', 'SFXN1', 'TFR2', 'HAMP', 'FTL', 'Na']
Achalasia	['WWOX', 'GUCY1A3', 'POMC', 'MC2R', 'ATP4A', 'NNT', 'SEMA5A', 'NOS1', 'KANTR', 'GAST', 'AAAS', 'Na']
Achondroplasia	['SLC26A2', 'STAT1', 'TLX1NB', 'FGF3', 'NPPC', 'FGF18', 'FIBP', 'PTHLH', 'COMP', 'GHR', 'EXOSC6', 'FGF9', 'FGFR1', 'TK1', 'SHOX', 'FGF13', 'FGFR3', 'FGFR2', 'Na']
Achromatopsia	['SLC24A2', 'FRMD7', 'TEX28P1', 'SLC38A8', 'CACNA1F', 'NYX', 'Na']
Acne	['PSENEN', 'DEFB104A', 'DEFB104B', 'PRPF38A', 'ADSL', 'RNASE7', 'PNN', 'FOXO1', 'TLR2', 'SULT2A1', 'NPS', 'PSTPIP1', 'IL8', 'NCSTN', 'AARS', 'SMNDC1', 'SHBG', 'DEFB4A', 'Na']
Acoustic neuroma	['KRT83', 'VPRBP', 'ELTD1', 'GLTSCR1', 'NCMAP', 'RTEL1', 'FKBP4', 'Na']
Acquired immunodeficiency syndrome	['CMTM8', 'EPHA5', 'USP26', 'ANXA1', 'RFPL1', 'RUNX1', 'BTNL2', 'NAV2', 'CYP7B1', 'NRG3', 'PARD3B', 'LOC100996485', 'PC', 'DAB1', 'PABPC1', 'BUD13', 'TRIM10', 'MAD2L1', 'DDR1', 'WDR27', 'GALNT14', 'TNXB', 'MAST4', 'TGFBRAP1', 'NEDD9', 'C6ORF170', 'PSORS1C1', 'PPP3CC', 'ZNRD1', 'C6ORF15', 'CCRL2', 'GPC5', 'RXRG', 'CCR5', 'SASH1', 'GPR156', 'HMGXB3', 'MICA', 'PRKG2', 'MICB', 'DRGX', 'EYS', 'PRMT6', 'WDR59', 'IL32', 'DNAJC5B', 'ST8SIA3', 'GABRG1', 'SORBS3', 'DYRK1A', 'NBEA', 'GLRX3', 'HLA-B', 'GLTSCR1', 'POU5F1', 'ZFP90', 'HCRTR2', 'Q5XPU7', 'ADAM18', 'SLCO5A1', 'STT3B', 'MUC21', 'DGKI', 'RYR3', 'MCM8', 'TMEM182', 'AOAH', 'C1ORF174', 'ZDHHC19', 'GRM5', 'HIST1H3B', 'GRIN2A', 'GRM8', 'FAM174B', 'RPS6KA2', 'ZNF385D', 'EVI5L', 'UGT1A8', 'Na']
